"","id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","weight_kg","weight_class"
"1","2772-P",1,2030.11664887238,"SEDNW","Los Angeles","California","Australia","National Pumpkin Festival","1391 B","1179 U",470,1998,0,"Lumina",920.854871120558,"Heavy"
"3","2651-P",76,1895.8081342848,"OIWYI","Chicago","California","Australia","National Pumpkin Festival","1595 H","1494 L",445,1747,13,"Long Island Cheese",859.932928551575,"Heavy"
"4","2998-P",84,1874.93059548829,"SKTVR","Houston","New York","Canada","Local Pumpkin Festival","1996 U","1515 R",436,1670,14,"Knucklehead",850.462939076607,"Heavy"
"5","2547-P",66,1805.73504684679,"DQKAD","Chicago","New York","UK","National Pumpkin Festival","1825 B","1528 Q",431,1611,11,"Lumina",819.076044110855,"Heavy"
"7","2999-P",87,1781.57854755502,"CKLHR","Houston","Florida","UK","Regional Pumpkin Festival","1376 X","1882 N",445,1741,7,"Long Island Cheese",808.118727912103,"Heavy"
"11","2787-P",85,1749.78148631342,"OOCRL","New York","Florida","Canada","Regional Pumpkin Festival","1180 U","1957 G",445,1697,4,"Lumina",793.695675548135,"Heavy"
"12","2329-P",88,1740.05417195708,"ZQFEN","New York","New York","Canada","Regional Pumpkin Festival","1510 D","1534 Y",418,1518,19,"Knucklehead",789.28339470066,"Heavy"
"14","2679-P",75,1727.86830406915,"ZCRVU","Nottingham","New York","UK","Regional Pumpkin Festival","1262 Q","1064 F",432,1589,13,"Knucklehead",783.755921286925,"Heavy"
"15","2559-P",15,1687.46095797345,"EQQOO","Los Angeles","New York","Canada","Regional Pumpkin Festival","1392 H","1221 O",435,1671,3,"Knucklehead",765.42726933387,"Heavy"
"27","2255-P",46,1563.83173044864,"WBCKG","Nottingham","New York","Canada","Local Pumpkin Festival","1486 R","1206 K",419,1503,8,"Jarrahdale",709.349419599311,"Heavy"
"28","2887-P",21,1557.59297095053,"QLYRM","Nottingham","Texas","UK","Local Pumpkin Festival","1836 R","1604 O",417,1480,3,"Jarrahdale",706.519536854998,"Heavy"
"31","2911-P",18,1539.49593274295,"HJBEY","Paris","Texas","UK","National Pumpkin Festival","1302 U","1904 I",425,1616,-7,"Long Island Cheese",698.310774173525,"Heavy"
"32","2920-P",31,1545.13747924473,"CXEJM","Paris","Texas","UK","Regional Pumpkin Festival","1976 L","1851 S",410,1439,8,"Long Island Cheese",700.869762879766,"Heavy"
"33","2011-P",34,1538.64085777756,"RQDXL","Paris","New York","Australia","National Pumpkin Festival","1507 K","1373 A",411,1436,5,"Lumina",697.92291471358,"Heavy"
"34","2551-P",81,1541.97328861151,"TPSUM","Chicago","Texas","UK","Regional Pumpkin Festival","1296 Z","1711 G",415,1487,-1,"Lumina",699.43449542389,"Heavy"
"35","2533-P",33,1530.95965463463,"XPMDK","Chicago","California","UK","Regional Pumpkin Festival","1332 I","1862 M",412,1430,7,"Lumina",694.43874382411,"Heavy"
"36","2955-P",32,1526.60528638214,"EDKMN","Chicago","Texas","Canada","Local Pumpkin Festival","1700 H","1412 T",404,1423,6,"Lumina",692.463615341621,"Heavy"
"39","2295-P",63,1537.87360603549,"CUDYK","Paris","California","Australia","Local Pumpkin Festival","1634 Q","1807 Y",413,1485,6,"Jarrahdale",697.574891606407,"Heavy"
"40","2014-P",33,1527.94738537539,"FCJYN","Chicago","New York","Australia","National Pumpkin Festival","1350 M","1628 R",423,1518,-1,"Long Island Cheese",693.072387451414,"Heavy"
"41","2329-P",9,1518.38542877138,"INIDC","Nottingham","New York","UK","National Pumpkin Festival","1201 C","1988 L",416,1519,1,"Jarrahdale",688.735112388359,"Heavy"
"44","2854-P",57,1510.82008757908,"PFKOG","Nottingham","New York","Canada","Local Pumpkin Festival","1549 I","1825 Y",413,1427,11,"Knucklehead",685.303496134936,"Heavy"
"49","2246-P",59,1494.33358685207,"KFJKB","Nottingham","Florida","Australia","National Pumpkin Festival","1135 D","1803 S",408,1425,5,"Lumina",677.825268462336,"Heavy"
"52","2137-P",61,1477.187664547,"CMQIA","Los Angeles","Texas","UK","National Pumpkin Festival","1325 W","1992 O",406,1422,5,"Jarrahdale",670.047929124106,"Heavy"
"56","2165-P",2,1479.61019081343,"DGIQV","Los Angeles","California","UK","National Pumpkin Festival","1981 U","1600 Q",419,1510,1,"Long Island Cheese",671.146779830096,"Heavy"
"57","2371-P",47,1477.30472551752,"TSCBC","Nottingham","New York","Australia","National Pumpkin Festival","1732 E","1008 T",405,1433,8,"Knucklehead",670.101027632005,"Heavy"
"59","2921-P",21,1481.36667775232,"MGDUX","New York","California","UK","Local Pumpkin Festival","1381 E","1696 E",416,1454,5,"Long Island Cheese",671.943517078982,"Heavy"
"61","2703-P",31,1464.53427906986,"IJEHQ","Paris","New York","Australia","Regional Pumpkin Festival","1950 M","1487 J",407,1403,1,"Knucklehead",664.308391123044,"Heavy"
